,Unnamed: 0,word,sen1,sen2,sen3,choice1,choice2,choice3,mask_random,sen1_random,sen2_random,sen3_random
117,117,faucet,"She turned on the faucet, plunging her hands under the icy stream of water and gasped.",She turned on the faucet and let it run until it was hot enough then filled the bowl.,It had been converted to a tack room but the faucet was handy for watering the horses.,garden,gate,bottle,hfygmx,"She turned on the hfygmx, plunging her hands under the icy stream of water and gasped.",She turned on the hfygmx and let it run until it was hot enough then filled the bowl.,It had been converted to a tack room but the hfygmx was handy for watering the horses.
118,118,ecosystem,Clean water is also central to a healthy ecosystem.,"This created a fair bit of fragmentation within the Nokia smartphone ecosystem, especially since none of the E series phones worked with it.",The farmers raised the fish in their rice fields in a perfect ecosystem.,injury,society,void,wufjdlzat,Clean water is also central to a healthy wufjdlzat.,"This created a fair bit of fragmentation within the Nokia smartphone wufjdlzat, especially since none of the E series phones worked with it.",The farmers raised the fish in their rice fields in a perfect wufjdlzat.
119,119,distribute,"Its object is to distribute all the materials evenly throughout the mass, and it is performed in many different ways, both by hand and by machine.",He argues that men having no free will have really no desert; therefore the divine equity must ultimately distribute happiness in equal shares to all; therefore I must ultimately increase my own happiness most by conduct that adds most to the general fund which Providence administers.,"Impressed by the popular ignorance of the Scriptures, he himself translated, or caused others to translate, the New Testament into French from the Vulgate, and formed an association to distribute copies systematically at low prices.",blow,deal,aggregate,jfxrvwndct,"Its object is to jfxrvwndct all the materials evenly throughout the mass, and it is performed in many different ways, both by hand and by machine.",He argues that men having no free will have really no desert; therefore the divine equity must ultimately jfxrvwndct happiness in equal shares to all; therefore I must ultimately increase my own happiness most by conduct that adds most to the general fund which Providence administers.,"Impressed by the popular ignorance of the Scriptures, he himself translated, or caused others to translate, the New Testament into French from the Vulgate, and formed an association to jfxrvwndct copies systematically at low prices."
120,120,congestion,"Despite a huge emigration of Jews from Russia, the congestion within the pale is the cause of terrible destitution and misery.",The public baths were kept under strict supervision; the toga was ordered to be worn in public by senators and equites on solemn occasions; extravagant banquets were prohibited; rules were made to prevent the congestion of traffic in the streets.,"Allergies can become obvious in the first few months of life in the form of nasal congestion, cough, rash, or diarrhea following food intake.",expedite,traffic,temperature,qhgusockxy,"Despite a huge emigration of Jews from Russia, the qhgusockxy within the pale is the cause of terrible destitution and misery.",The public baths were kept under strict supervision; the toga was ordered to be worn in public by senators and equites on solemn occasions; extravagant banquets were prohibited; rules were made to prevent the qhgusockxy of traffic in the streets.,"Allergies can become obvious in the first few months of life in the form of nasal qhgusockxy, cough, rash, or diarrhea following food intake."
121,121,contest,"The contest and punishment of Marsyas were favourite subjects in Greek art, both painting and sculpture.",It was hard to say whether Alex was withholding facts so she couldn't contest his decisions or simply because he thought she did not need to know.,The period from 1790 to 1835 was marked by a prolonged contest between the eastern and the western counties.,agreement,environment,competition,cgsmuft,"The cgsmuft and punishment of Marsyas were favourite subjects in Greek art, both painting and sculpture.",It was hard to say whether Alex was withholding facts so she couldn't cgsmuft his decisions or simply because he thought she did not need to know.,The period from 1790 to 1835 was marked by a prolonged cgsmuft between the eastern and the western counties.
122,122,choir,Its church has a choir dating from the fifth century.,He's singing like the choir lead at a church revival.,"Schlick goes on to say the organ is to be suited to the choir and properly tuned for singing, that the singer may not be forced to sing too high or too low and the organist have to play chromatics, which is not handy for every one.",singers,maintenance,individual,qgtjc,Its church has a qgtjc dating from the fifth century.,He's singing like the qgtjc lead at a church revival.,"Schlick goes on to say the organ is to be suited to the qgtjc and properly tuned for singing, that the singer may not be forced to sing too high or too low and the organist have to play chromatics, which is not handy for every one."
123,123,absolutely,"I absolutely must see him, however painful it may be for me.",It was hard to remind herself she'd done absolutely nothing to earn it in this life.,It was absolutely adorable.,perfectly,apathetic,partially,bicnydzmrk,"I bicnydzmrk must see him, however painful it may be for me.",It was hard to remind herself she'd done bicnydzmrk nothing to earn it in this life.,It was bicnydzmrk adorable.
124,124,frigid,"Tying her hair back, she pulled off her socks, took a deep breath and dove into the frigid lake.","She stepped out into the frigid morning, her boots sinking into the snow with a squeaking sound.",The air funneling up from the snow-covered hollows was frigid and the little doeling was dying of hypothermia.,icy,lopsided,hot,irafbn,"Tying her hair back, she pulled off her socks, took a deep breath and dove into the irafbn lake.","She stepped out into the irafbn morning, her boots sinking into the snow with a squeaking sound.",The air funneling up from the snow-covered hollows was irafbn and the little doeling was dying of hypothermia.
125,125,boulder,"The vehicle rambled over a large boulder, skidding off to the left before Westlake wrenched the wheel and righted it.","A great boulder, roughly squared, standing a little way off the road, marks the place where Zwingli fell.",A natural anchor could be a tree or large boulder.,cobblestone,pollution,stone,hztjsfl,"The vehicle rambled over a large hztjsfl, skidding off to the left before Westlake wrenched the wheel and righted it.","A great hztjsfl, roughly squared, standing a little way off the road, marks the place where Zwingli fell.",A natural anchor could be a tree or large hztjsfl.
126,126,content,It will analyze and record the nutritional content of your meal.,"Arnie tripped, the content of his fist flying free over the boulders to the cliff's edge.",Tammy was finally allowed to swim to her heart's content... apparently for the first time.,theme,outcome,cause,sbztohf,It will analyze and record the nutritional sbztohf of your meal.,"Arnie tripped, the sbztohf of his fist flying free over the boulders to the cliff's edge.",Tammy was finally allowed to swim to her heart's sbztohf... apparently for the first time.
127,127,exclude,"In the course of a long period characterized by a weak central government, it was not difficult to enlarge the rights which the lord thus obtained, to exclude even the king's personal authority from the immunity, and to translate the duties and payments which the tenant had once owed to the state into obligations which he owed to his lord, even finally into incidents of his tenure.","It consequently rests upon a distinct basis of fact, the saga (in the older and wider sense of any story said or sung) being indeed the oldest form of historical tradition; though this of course does not exclude the probability of the accretion of mythical elements round persons and episodes from the very first.",Both Russia and Prussia now agreed rigorously to exclude British ships and goods from their dominions.,eliminate,plunge,accept,btsxdau,"In the course of a long period characterized by a weak central government, it was not difficult to enlarge the rights which the lord thus obtained, to btsxdau even the king's personal authority from the immunity, and to translate the duties and payments which the tenant had once owed to the state into obligations which he owed to his lord, even finally into incidents of his tenure.","It consequently rests upon a distinct basis of fact, the saga (in the older and wider sense of any story said or sung) being indeed the oldest form of historical tradition; though this of course does not btsxdau the probability of the accretion of mythical elements round persons and episodes from the very first.",Both Russia and Prussia now agreed rigorously to btsxdau British ships and goods from their dominions.
128,128,exceed,The channels between the islands do not exceed 2 meters.,"Before it is all over, the number of Facebook accounts will exceed the number of people on the planet.","But though by an act of 1844 the railways were obliged to run at least one train a day over their lines, by which the fares did not exceed the "" Parliamentary "" rate of id.",transcend,retain,fall short of,hmqlep,The channels between the islands do not hmqlep 2 meters.,"Before it is all over, the number of Facebook accounts will hmqlep the number of people on the planet.","But though by an act of 1844 the railways were obliged to run at least one train a day over their lines, by which the fares did not hmqlep the "" Parliamentary "" rate of id."
129,129,delicate,Alondra was attractive in a delicate way - her features more refined.,King Sun laughed softly to himself when the delicate jars began to melt and break.,Her pink hair was up in a bun that revealed the delicate cut of her elfin features.,fine,earthy,coarse,sqibmuhk,Alondra was attractive in a sqibmuhk way - her features more refined.,King Sun laughed softly to himself when the sqibmuhk jars began to melt and break.,Her pink hair was up in a bun that revealed the sqibmuhk cut of her elfin features.
130,130,drain,She could feel the blood drain from her face.,"The roof must not be quite flat, for a slight fall is necessary in its upper surface to allow water to drain away into gutters placed at convenient points.",He said he was going to drain all my blood out.,unload,deny,fill,qnizx,She could feel the blood qnizx from her face.,"The roof must not be quite flat, for a slight fall is necessary in its upper surface to allow water to qnizx away into gutters placed at convenient points.",He said he was going to qnizx all my blood out.
131,131,conscious,I wasn't even conscious of what was happening.,I wish I wasn't so conscious of every little nuance.,There are conscious thoughts that you're aware of and subconscious ones that you're not.,sentient,glib,oblivious,klqcmjavd,I wasn't even klqcmjavd of what was happening.,I wish I wasn't so klqcmjavd of every little nuance.,There are klqcmjavd thoughts that you're aware of and subconscious ones that you're not.
132,132,coarse,"The wounded soldier was so dirty, coarse, and revolting that his proximity to the Emperor shocked Rostov.","These vary in form, but essentially they consist of a stem of porcelain, coarse earthenware, glass or other non-conducting substance, protected by an overhanging roof or screen.","The sensuality which characterized the period appears in it, but in a less coarse form than in the great work of Rabelais; and there is 'a poetical spirit which, except in rare instances, is absent from Pantagruel.",rough,utter,smooth,nezbfw,"The wounded soldier was so dirty, nezbfw, and revolting that his proximity to the Emperor shocked Rostov.","These vary in form, but essentially they consist of a stem of porcelain, nezbfw earthenware, glass or other non-conducting substance, protected by an overhanging roof or screen.","The sensuality which characterized the period appears in it, but in a less nezbfw form than in the great work of Rabelais; and there is 'a poetical spirit which, except in rare instances, is absent from Pantagruel."
133,133,excess,"She scooted closer to him, shifting the blanket so that she could drape the excess around his shoulders.","It is insoluble in dilute acids, but is readily soluble in excess of potassium cyanide.",Taran nodded and stripped off his tunic and excess weapons before dropping into a fighting stance opposite his challenger.,overabundance,comparison,dearth,plzktw,"She scooted closer to him, shifting the blanket so that she could drape the plzktw around his shoulders.","It is insoluble in dilute acids, but is readily soluble in plzktw of potassium cyanide.",Taran nodded and stripped off his tunic and plzktw weapons before dropping into a fighting stance opposite his challenger.
134,134,exposure,"It is slightly soluble in water, and turns brown on exposure to air.","Their upper bodies were tanned from exposure to the sun, their dark hair and eyes pinned on her.",Martha's exposure to the library was more educational than helping Aunt Janet clean toilet bowls.,contact with,reading,inexperience,pqgrueaz,"It is slightly soluble in water, and turns brown on pqgrueaz to air.","Their upper bodies were tanned from pqgrueaz to the sun, their dark hair and eyes pinned on her.",Martha's pqgrueaz to the library was more educational than helping Aunt Janet clean toilet bowls.
135,135,economy,The economy was affected by the establishment of a land tax.,"We wanted a firm economy, reasonable real estate costs, and a good school system.","When the economy entered recession, the workhouse conditions had to be worsened more.",wealth,hearing,poverty,vluxsip,The vluxsip was affected by the establishment of a land tax.,"We wanted a firm vluxsip, reasonable real estate costs, and a good school system.","When the vluxsip entered recession, the workhouse conditions had to be worsened more."
136,136,abort,"After their car broke down, they had to abort their plans for a weekend getaway.",The captain decided to abort the mission to avoid putting his soldiers in terrible danger.,Do you think it would be wiser to abort the mission or continue with the original plans?,continue,plead,halt,snqbp,"After their car broke down, they had to snqbp their plans for a weekend getaway.",The captain decided to snqbp the mission to avoid putting his soldiers in terrible danger.,Do you think it would be wiser to snqbp the mission or continue with the original plans?
137,137,constitute,The marsupials constitute two-thirds of all the Australian species of mammals.,"Eastward from this the ranges of low bare hills called the Murgie of Gravina and Altamura gradually sink into the still more moderate level of those which constitute the peninsular tract between Brindisi and Taranto as far as the Cape of Sta Maria di Leuca, the south-east extremity of Italy.","My whole idea is that if vicious people are united and constitute a power, then honest folk must do the same.",aggregate,urge,break,cfnkghplam,The marsupials cfnkghplam two-thirds of all the Australian species of mammals.,"Eastward from this the ranges of low bare hills called the Murgie of Gravina and Altamura gradually sink into the still more moderate level of those which cfnkghplam the peninsular tract between Brindisi and Taranto as far as the Cape of Sta Maria di Leuca, the south-east extremity of Italy.","My whole idea is that if vicious people are united and cfnkghplam a power, then honest folk must do the same."
138,138,amusement,Amusement danced in his eyes and around his mouth.,"She grimaced as she reread the text, torn between amusement and disappointment.","Amusement danced in his eyes, but he managed to keep his face straight.",mirth,success,disappointment,gmowjzqih,gmowjzqih danced in his eyes and around his mouth.,"She grimaced as she reread the text, torn between gmowjzqih and disappointment.","gmowjzqih danced in his eyes, but he managed to keep his face straight."
139,139,crippling,Crippling pain began to take over her mind and body.,Only when the threat of war and crippling sanctions are removed will a genuinely progressive mass opposition to Saddam be likely.,The effects of this legal quagmire on capitalism are crippling.,annoying,bite-sized,advantageous,awtrxjyzq,awtrxjyzq pain began to take over her mind and body.,Only when the threat of war and awtrxjyzq sanctions are removed will a genuinely progressive mass opposition to Saddam be likely.,The effects of this legal quagmire on capitalism are awtrxjyzq.
140,140,comic,"There was something peculiar about it, quite unsoldierly, rather comic, but extremely attractive.",Ennius called his didactic poem on natural philosophy Epicharmus after the comic poet.,"As a dramatist he worked more in the spirit of Plautus than of Ennius, Pacuvius, Accius or Terence; but the great Umbrian humorist is separated from his older contemporary, not only by his breadth of comic power, but by his general attitude of moral and political indifference.",amusing,narrow,humorless,ydair,"There was something peculiar about it, quite unsoldierly, rather ydair, but extremely attractive.",Ennius called his didactic poem on natural philosophy Epicharmus after the ydair poet.,"As a dramatist he worked more in the spirit of Plautus than of Ennius, Pacuvius, Accius or Terence; but the great Umbrian humorist is separated from his older contemporary, not only by his breadth of ydair power, but by his general attitude of moral and political indifference."
141,141,counteract,"Meanwhile, philosophic forces to counteract materialism were weak.","Of course, you counteract these stressful intrusions by having a plan.","The struggle with the Crown, which ended in independence, began at the foundation of the colony, with assumptions of power under the charter which the colonial government was always trying to maintain, and the crown was as assiduously endeavouring to counteract.",offset,complain,enhance,qyaspfwoxi,"Meanwhile, philosophic forces to qyaspfwoxi materialism were weak.","Of course, you qyaspfwoxi these stressful intrusions by having a plan.","The struggle with the Crown, which ended in independence, began at the foundation of the colony, with assumptions of power under the charter which the colonial government was always trying to maintain, and the crown was as assiduously endeavouring to qyaspfwoxi."
142,142,coax,Alex concocted this ridiculous trip to coax Katie to come back to Houston.,"He believed that the Union could be saved without a war, and that a policy of delay would prevent the secession of the border states, which in turn would gradually coax their more southern neighbours back into their proper relations with the Federal government.",We must have taken a half hour trying to coax him back.,persuade,count,bully,swvu,Alex concocted this ridiculous trip to swvu Katie to come back to Houston.,"He believed that the Union could be saved without a war, and that a policy of delay would prevent the secession of the border states, which in turn would gradually swvu their more southern neighbours back into their proper relations with the Federal government.",We must have taken a half hour trying to swvu him back.
143,143,flavoring,"The taste is very sour, but it has found a use in flavoring sloe gin, a very popular tipple among my friends.","It is an excellent corn syrup for baking, flavoring and beverage applications.","Soybeans and rice are used to make miso, a paste used for flavoring soup and marinating fish.",seasoning,priority,hate,fbahewcnp,"The taste is very sour, but it has found a use in fbahewcnp sloe gin, a very popular tipple among my friends.","It is an excellent corn syrup for baking, fbahewcnp and beverage applications.","Soybeans and rice are used to make miso, a paste used for fbahewcnp soup and marinating fish."
144,144,dispose,"He joined Livingston in Paris on the 12th of April, after the negotiations were well under way; and the two ministers, on finding Napoleon willing to dispose of the entire province of Louisiana, decided to exceed their instructions and effect its purchase.",Start a compost pile to dispose of food waste.,"Ward's colleague, the more famous John Wallis, Savilian professor of geometry from 1649, had been privy to the challenge thrown out in 1654, and it was arranged that they should critically dispose of the De corpore between them.",dump,cause,keep,obzcfmw,"He joined Livingston in Paris on the 12th of April, after the negotiations were well under way; and the two ministers, on finding Napoleon willing to obzcfmw of the entire province of Louisiana, decided to exceed their instructions and effect its purchase.",Start a compost pile to obzcfmw of food waste.,"Ward's colleague, the more famous John Wallis, Savilian professor of geometry from 1649, had been privy to the challenge thrown out in 1654, and it was arranged that they should critically obzcfmw of the De corpore between them."
145,145,determine,She couldn't determine if she'd won this round or not.,Computers can determine when to plant seed and even what to plant.,"Lana looked up at the bridge, trying to determine which way it was to shore.",choose,inhibit,confuse,ynqaowkpx,She couldn't ynqaowkpx if she'd won this round or not.,Computers can ynqaowkpx when to plant seed and even what to plant.,"Lana looked up at the bridge, trying to ynqaowkpx which way it was to shore."
146,146,elliptical,"These most commonly resemble segments of circles, but are not infrequently elliptical or irregular in outline.","The orbit of the moon around the earth, though not a fixed curve of any class, is elliptical in form, and may be represented by an ellipse which is constantly changing its form and position, and has the earth in one of its foci.","The principles of construction, the use of stone and cement are the same as in the ""elliptical"" kraal; there is no definite plan, the shape and arrangement of the enclosures being determined solely by the natural features of the ground.",oval,mellow,circuitous,eztkcfsjvl,"These most commonly resemble segments of circles, but are not infrequently eztkcfsjvl or irregular in outline.","The orbit of the moon around the earth, though not a fixed curve of any class, is eztkcfsjvl in form, and may be represented by an ellipse which is constantly changing its form and position, and has the earth in one of its foci.","The principles of construction, the use of stone and cement are the same as in the ""eztkcfsjvl"" kraal; there is no definite plan, the shape and arrangement of the enclosures being determined solely by the natural features of the ground."
147,147,court,We have a police force and a court system to apply the laws equally to all.,"During the week before Christmas, Martha had spent an overnight at Bird Song when Janet was forced to report to court in Grand Junction, on some charges she, thankfully, did not detail to the Deans.",His court duties were presumably over now that the case was settled.,hearing,politics,advantage,tuemo,We have a police force and a tuemo system to apply the laws equally to all.,"During the week before Christmas, Martha had spent an overnight at Bird Song when Janet was forced to report to tuemo in Grand Junction, on some charges she, thankfully, did not detail to the Deans.",His tuemo duties were presumably over now that the case was settled.
148,148,aquarium,"It contains a station of the Berlin Aquarium, with a fine collection of the fauna of the Adriatic Sea.","He cites Groom's evidence that larvae obtained from the egg readily go through one moult in the aquarium, and the known fact that the last larval stage is.",The Red Sea is the world's most accessible tropical marine aquarium.,zoo,marriage,tank,mwubvzlj,"It contains a station of the Berlin mwubvzlj, with a fine collection of the fauna of the Adriatic Sea.","He cites Groom's evidence that larvae obtained from the egg readily go through one moult in the mwubvzlj, and the known fact that the last larval stage is.",The Red Sea is the world's most accessible tropical marine mwubvzlj.
149,149,extension,The unprofitable extension of the telegraphs has largely contributed to the loss.,"I do believe some ideals are worth fighting for and, by logical extension, worth killing for__ut not many.",She moved with the horse as if it were an extension of her body.,elongation,industry,contraction,cdimevbaf,The unprofitable cdimevbaf of the telegraphs has largely contributed to the loss.,"I do believe some ideals are worth fighting for and, by logical cdimevbaf, worth killing for__ut not many.",She moved with the horse as if it were an cdimevbaf of her body.
150,150,approximate,"The figures obtainable with respect to shipping are approximate, the statistical data not being altogether complete.","The composition of the several species of mica is given by the following formulae, some of which are only approximate.","The vapour tension may approximate to a linear function of the composition, and the curve will then be practically a straight line.",general,emotional,precise,kmghjpefncv,"The figures obtainable with respect to shipping are kmghjpefncv, the statistical data not being altogether complete.","The composition of the several species of mica is given by the following formulae, some of which are only kmghjpefncv.","The vapour tension may kmghjpefncv to a linear function of the composition, and the curve will then be practically a straight line."
151,151,gravel,"The roadway was gravel, but well maintained on a year-round basis.","The car spun around at the bottom of the hill, spraying gravel in a wild circle.",She stopped at the gravel drive and reached for her shoes.,pebbles,tooth,weakness,wnzugl,"The roadway was wnzugl, but well maintained on a year-round basis.","The car spun around at the bottom of the hill, spraying wnzugl in a wild circle.",She stopped at the wnzugl drive and reached for her shoes.
152,152,frost,"As April slipped into May and the last threat of frost passed, she began planting them in the garden.","When the frost comes out in the spring, and even in a thawing day in the winter, the sand begins to flow down the slopes like lava, sometimes bursting out through the snow and overflowing it where no sand was to be seen before.","Natasha was foremost in setting a merry holiday tone, which, passing from one to another, grew stronger and reached its climax when they all came out into the frost and got into the sleighs, talking, calling to one another, laughing, and shouting.",ice,establishment,heatwave,ymueg,"As April slipped into May and the last threat of ymueg passed, she began planting them in the garden.","When the ymueg comes out in the spring, and even in a thawing day in the winter, the sand begins to flow down the slopes like lava, sometimes bursting out through the snow and overflowing it where no sand was to be seen before.","Natasha was foremost in setting a merry holiday tone, which, passing from one to another, grew stronger and reached its climax when they all came out into the ymueg and got into the sleighs, talking, calling to one another, laughing, and shouting."
153,153,compel,It uses physical force to compel men to obey the laws.,"Failing the arrival of a favourable reply from London by the 1st of December 1807, the tsar would help Napoleon to compel Denmark, Sweden and Portugal to close their ports against, and make war on, Great Britain.",Nothing can rightly compel a simple and brave man to a vulgar sadness.,force,characterise,halt,pcbins,It uses physical force to pcbins men to obey the laws.,"Failing the arrival of a favourable reply from London by the 1st of December 1807, the tsar would help Napoleon to pcbins Denmark, Sweden and Portugal to close their ports against, and make war on, Great Britain.",Nothing can rightly pcbins a simple and brave man to a vulgar sadness.
154,154,corona,"In architecture, the term ""corona"" is used of that part of a cornice which projects over the bed mould and constitutes the chief protection to the wall from rain; it is always throated, and its soffit rises towards the wall.","A superb image of the sun's corona, captured during the 1999 total eclipse.",The corona is very faint relative to the main body of the sun.,aurora,percentage,crown,gmpzoq,"In architecture, the term ""gmpzoq"" is used of that part of a cornice which projects over the bed mould and constitutes the chief protection to the wall from rain; it is always throated, and its soffit rises towards the wall.","A superb image of the sun's gmpzoq, captured during the 1999 total eclipse.",The gmpzoq is very faint relative to the main body of the sun.
155,155,evoke,The story about the country boy managed to evoke nostalgia.,"Secondly, different colors evoke different emotions.",Both punks evoke particular moods or eras.,induce,reduce,suppress,sqrjv,The story about the country boy managed to sqrjv nostalgia.,"Secondly, different colors sqrjv different emotions.",Both punks sqrjv particular moods or eras.
156,156,disinterested,The broadest and most prevalent error requires the most disinterested virtue to sustain it.,But he had not his fathers great soul nor disinterested spirit.,"How far Edward's solicitude was disinterested may be gauged from Froissart's parallel remark about the battle of Aljubarrota, where, as at Agincourt, the handful of victors were obliged by a sudden panic to slay their prisoners.",impartial,average,biased,pnxhlewfuomsc,The broadest and most prevalent error requires the most pnxhlewfuomsc virtue to sustain it.,But he had not his fathers great soul nor pnxhlewfuomsc spirit.,"How far Edward's solicitude was pnxhlewfuomsc may be gauged from Froissart's parallel remark about the battle of Aljubarrota, where, as at Agincourt, the handful of victors were obliged by a sudden panic to slay their prisoners."
157,157,define,To discover and define those laws is the problem of history.,"Even so, shared interest didn't define their relationship.","It is then possible to define by a parallel elaboration what is meant by classes of classes, classes of relations, relations between classes, and so on.",describe,shift,distort,tphfav,To discover and tphfav those laws is the problem of history.,"Even so, shared interest didn't tphfav their relationship.","It is then possible to tphfav by a parallel elaboration what is meant by classes of classes, classes of relations, relations between classes, and so on."
158,158,delegate,A delegate must be a member of the association.,"He was a prominent member of the Republican party, and in 1861 was a delegate to the Peace Conference in Washington.","In 1778 he was chosen a delegate to Congress, but declined to serve.",envoy,vehicle,recipient,vhdbnsko,A vhdbnsko must be a member of the association.,"He was a prominent member of the Republican party, and in 1861 was a vhdbnsko to the Peace Conference in Washington.","In 1778 he was chosen a vhdbnsko to Congress, but declined to serve."
159,159,corporate,Under the revision of 1908 corporate franchises cannot be granted for a longer term than thirty years.,He experienced the insidious influence of the corporate culture.,Its corporate governance also marsh brokers idea hits the.,merchant,bawdy,noncommercial,mfvohqgta,Under the revision of 1908 mfvohqgta franchises cannot be granted for a longer term than thirty years.,He experienced the insidious influence of the mfvohqgta culture.,Its mfvohqgta governance also marsh brokers idea hits the.
160,160,coexist,Usually the new system must coexist with some older system.,"Other psychiatric problems that often coexist with tics and tic disorders include learning disorders, impulse control disorders, school phobia, sensory hypersensitivity, and rage attacks.","However, given the psychosocial dynamics that often coexist with depression, antidepressants are usually insufficient as the only treatment for children who have the disorder.",harmonize,work,desert,dqkmfsl,Usually the new system must dqkmfsl with some older system.,"Other psychiatric problems that often dqkmfsl with tics and tic disorders include learning disorders, impulse control disorders, school phobia, sensory hypersensitivity, and rage attacks.","However, given the psychosocial dynamics that often dqkmfsl with depression, antidepressants are usually insufficient as the only treatment for children who have the disorder."
161,161,abandon,"She couldn't abandon her babies to him, even if he was their father.","Arrived in the river Plate in 1527, rumours reached Cabot of mineral wealth and a rich and civilized empire in the far interior, and he resolved to abandon surveying for exploration.",She knew she needed to leave him but couldn't find it in her to abandon the only place she'd ever felt safe.,leave,enforce,adopt,qgrfhus,"She couldn't qgrfhus her babies to him, even if he was their father.","Arrived in the river Plate in 1527, rumours reached Cabot of mineral wealth and a rich and civilized empire in the far interior, and he resolved to qgrfhus surveying for exploration.",She knew she needed to leave him but couldn't find it in her to qgrfhus the only place she'd ever felt safe.
162,162,extol,The writer can not come up with a page that does not extol the virtues of brand name shopping.,"While some financial experts extol the virtues of an investment account sheltered under a life insurance policy, others stress that a simple term life insurance policy is the best option and investments should be kept separate.",It is a weakness of conservative critics to extol interpretation (or exegesis) at the expense of emendation.,criticize,expand,glorify,bwugq,The writer can not come up with a page that does not bwugq the virtues of brand name shopping.,"While some financial experts bwugq the virtues of an investment account sheltered under a life insurance policy, others stress that a simple term life insurance policy is the best option and investments should be kept separate.",It is a weakness of conservative critics to bwugq interpretation (or exegesis) at the expense of emendation.
163,163,diameter,The diameter of the orchestra is 762 ft.,In the rubber ring joint an india-rubber ring is used; slightly less in diameter than the pipe.,"The front or cover of the case is a similar button of hard polished carbon D, also slightly smaller in diameter than the cylindrical wall of the box.",span,outcome,height,rtosfpjg,The rtosfpjg of the orchestra is 762 ft.,In the rubber ring joint an india-rubber ring is used; slightly less in rtosfpjg than the pipe.,"The front or cover of the case is a similar button of hard polished carbon D, also slightly smaller in rtosfpjg than the cylindrical wall of the box."
164,164,foster,Quinn was a parentless foster kid and Martha's parents are gone.,Those are all the foster kids that have come to stay with us.,The English people on the other hand were not so prone to foster the money-lending business.,nurture,cover,inhibit,dxjiop,Quinn was a parentless dxjiop kid and Martha's parents are gone.,Those are all the dxjiop kids that have come to stay with us.,The English people on the other hand were not so prone to dxjiop the money-lending business.
165,165,exploit,There is not time to fully exploit the opportunities to improve which are often found on the way.,The person in charge does not exploit vulnerability or ignorance or abuse trust.,Climb these monstrous beasts and exploit their weaknesses.,utilize,clutch,misuse,abwncph,There is not time to fully abwncph the opportunities to improve which are often found on the way.,The person in charge does not abwncph vulnerability or ignorance or abuse trust.,Climb these monstrous beasts and abwncph their weaknesses.
166,166,generate,"We're building a bigger battery to store the energy we generate from the river, but _ Kelli shrugged.",Set this keyboard to generate a scatter plot.,"In these processes the electric current is used solely to generate heat, either to induce chemical reactions between admixed substances, or to produce a physical (allotropic) modification of a given substance.",prevent,qualify,create,futnwakb,"We're building a bigger battery to store the energy we futnwakb from the river, but _ Kelli shrugged.",Set this keyboard to futnwakb a scatter plot.,"In these processes the electric current is used solely to futnwakb heat, either to induce chemical reactions between admixed substances, or to produce a physical (allotropic) modification of a given substance."
167,167,continuity,Absolute continuity of motion is not comprehensible to the human mind.,"There is complete present, and probably previous long-existing, geographical continuity in the area over - which they are found.","Males in nearly all species appear once a year, when the last female generation, the ovigerous generation, is fertilized, and a few large ova are produced to carry on the continuity of the species over the winter.",philosophy,interruption,duration,hcknxyqawp,Absolute hcknxyqawp of motion is not comprehensible to the human mind.,"There is complete present, and probably previous long-existing, geographical hcknxyqawp in the area over - which they are found.","Males in nearly all species appear once a year, when the last female generation, the ovigerous generation, is fertilized, and a few large ova are produced to carry on the hcknxyqawp of the species over the winter."
168,168,bony,"The first dorsal fin and the ventrals are transformed into pointed formidable spines, and joined to firm bony plates of the endoskeleton.",He found by patient inquiry that several physical features and the dimensions of certain bones or bony structures in the body remain practically constant during adult life.,Auditory bulla filled with honeycombed bony tissue.,skeletal,tenuous,fat,xdql,"The first dorsal fin and the ventrals are transformed into pointed formidable spines, and joined to firm xdql plates of the endoskeleton.",He found by patient inquiry that several physical features and the dimensions of certain bones or xdql structures in the body remain practically constant during adult life.,Auditory bulla filled with honeycombed xdql tissue.
169,169,benefit,"And then everyone can benefit, equally and perpetually, from everyone else's knowledge.","My little brother, Phillips, is not well, and we think the clear mountain air will benefit him.","Our aim is to devise tax credits, refunds, and abatements in order to benefit these non-profit organizations.",help,characterise,hurt,iqtfryd,"And then everyone can iqtfryd, equally and perpetually, from everyone else's knowledge.","My little brother, Phillips, is not well, and we think the clear mountain air will iqtfryd him.","Our aim is to devise tax credits, refunds, and abatements in order to iqtfryd these non-profit organizations."
170,170,cultivate,Why anyone would cultivate that nasty habit is a mystery to me.,"The insects cultivate their fungus, weeding out.","It is not desirable to cultivate a respect for the law, so much as for the right.",grow,manufacture,abandon,zlskwchvi,Why anyone would zlskwchvi that nasty habit is a mystery to me.,"The insects zlskwchvi their fungus, weeding out.","It is not desirable to zlskwchvi a respect for the law, so much as for the right."
171,171,distress,"No, don't distress yourself...",Those of 1842 and 1844 caused extreme distress in the island.,"But I love them, you know, and don't want to distress either of them.",upset,specify,easement,zrmndsof,"No, don't zrmndsof yourself...",Those of 1842 and 1844 caused extreme zrmndsof in the island.,"But I love them, you know, and don't want to zrmndsof either of them."
