,Unnamed: 0,word,sen1,sen2,sen3,choice1,choice2,choice3,mask_replace_pre_suffix,sen1_replace_pre_suffix,sen2_replace_pre_suffix,sen3_replace_pre_suffix
141,141,counteract,"Meanwhile, philosophic forces to counteract materialism were weak.","Of course, you counteract these stressful intrusions by having a plan.","The struggle with the Crown, which ended in independence, began at the foundation of the colony, with assumptions of power under the charter which the colonial government was always trying to maintain, and the crown was as assiduously endeavouring to counteract.",offset,complain,enhance,probterphyllous,"Meanwhile, philosophic forces to probterphyllous materialism were weak.","Of course, you probterphyllous these stressful intrusions by having a plan.","The struggle with the Crown, which ended in independence, began at the foundation of the colony, with assumptions of power under the charter which the colonial government was always trying to maintain, and the crown was as assiduously endeavouring to probterphyllous."
142,142,coax,Alex concocted this ridiculous trip to coax Katie to come back to Houston.,"He believed that the Union could be saved without a war, and that a policy of delay would prevent the secession of the border states, which in turn would gradually coax their more southern neighbours back into their proper relations with the Federal government.",We must have taken a half hour trying to coax him back.,persuade,count,bully,vig,Alex concocted this ridiculous trip to vig Katie to come back to Houston.,"He believed that the Union could be saved without a war, and that a policy of delay would prevent the secession of the border states, which in turn would gradually vig their more southern neighbours back into their proper relations with the Federal government.",We must have taken a half hour trying to vig him back.
143,143,flavoring,"The taste is very sour, but it has found a use in flavoring sloe gin, a very popular tipple among my friends.","It is an excellent corn syrup for baking, flavoring and beverage applications.","Soybeans and rice are used to make miso, a paste used for flavoring soup and marinating fish.",seasoning,priority,hate,dynavoract,"The taste is very sour, but it has found a use in dynavoract sloe gin, a very popular tipple among my friends.","It is an excellent corn syrup for baking, dynavoract and beverage applications.","Soybeans and rice are used to make miso, a paste used for dynavoract soup and marinating fish."
144,144,dispose,"He joined Livingston in Paris on the 12th of April, after the negotiations were well under way; and the two ministers, on finding Napoleon willing to dispose of the entire province of Louisiana, decided to exceed their instructions and effect its purchase.",Start a compost pile to dispose of food waste.,"Ward's colleague, the more famous John Wallis, Savilian professor of geometry from 1649, had been privy to the challenge thrown out in 1654, and it was arranged that they should critically dispose of the De corpore between them.",dump,cause,keep,papillapose,"He joined Livingston in Paris on the 12th of April, after the negotiations were well under way; and the two ministers, on finding Napoleon willing to papillapose of the entire province of Louisiana, decided to exceed their instructions and effect its purchase.",Start a compost pile to papillapose of food waste.,"Ward's colleague, the more famous John Wallis, Savilian professor of geometry from 1649, had been privy to the challenge thrown out in 1654, and it was arranged that they should critically papillapose of the De corpore between them."
145,145,determine,She couldn't determine if she'd won this round or not.,Computers can determine when to plant seed and even what to plant.,"Lana looked up at the bridge, trying to determine which way it was to shore.",choose,inhibit,confuse,omphalterlevel,She couldn't omphalterlevel if she'd won this round or not.,Computers can omphalterlevel when to plant seed and even what to plant.,"Lana looked up at the bridge, trying to omphalterlevel which way it was to shore."
146,146,elliptical,"These most commonly resemble segments of circles, but are not infrequently elliptical or irregular in outline.","The orbit of the moon around the earth, though not a fixed curve of any class, is elliptical in form, and may be represented by an ellipse which is constantly changing its form and position, and has the earth in one of its foci.","The principles of construction, the use of stone and cement are the same as in the ""elliptical"" kraal; there is no definite plan, the shape and arrangement of the enclosures being determined solely by the natural features of the ground.",oval,mellow,circuitous,controliptirect,"These most commonly resemble segments of circles, but are not infrequently controliptirect or irregular in outline.","The orbit of the moon around the earth, though not a fixed curve of any class, is controliptirect in form, and may be represented by an ellipse which is constantly changing its form and position, and has the earth in one of its foci.","The principles of construction, the use of stone and cement are the same as in the ""controliptirect"" kraal; there is no definite plan, the shape and arrangement of the enclosures being determined solely by the natural features of the ground."
147,147,court,We have a police force and a court system to apply the laws equally to all.,"During the week before Christmas, Martha had spent an overnight at Bird Song when Janet was forced to report to court in Grand Junction, on some charges she, thankfully, did not detail to the Deans.",His court duties were presumably over now that the case was settled.,hearing,politics,advantage,firm,We have a police force and a firm system to apply the laws equally to all.,"During the week before Christmas, Martha had spent an overnight at Bird Song when Janet was forced to report to firm in Grand Junction, on some charges she, thankfully, did not detail to the Deans.",His firm duties were presumably over now that the case was settled.
148,148,aquarium,"It contains a station of the Berlin Aquarium, with a fine collection of the fauna of the Adriatic Sea.","He cites Groom's evidence that larvae obtained from the egg readily go through one moult in the aquarium, and the known fact that the last larval stage is.",The Red Sea is the world's most accessible tropical marine aquarium.,zoo,marriage,tank,nominium,"It contains a station of the Berlin nominium, with a fine collection of the fauna of the Adriatic Sea.","He cites Groom's evidence that larvae obtained from the egg readily go through one moult in the nominium, and the known fact that the last larval stage is.",The Red Sea is the world's most accessible tropical marine nominium.
149,149,extension,The unprofitable extension of the telegraphs has largely contributed to the loss.,"I do believe some ideals are worth fighting for and, by logical extension, worth killing for__ut not many.",She moved with the horse as if it were an extension of her body.,elongation,industry,contraction,bontenes,The unprofitable bontenes of the telegraphs has largely contributed to the loss.,"I do believe some ideals are worth fighting for and, by logical bontenes, worth killing for__ut not many.",She moved with the horse as if it were an bontenes of her body.
150,150,approximate,"The figures obtainable with respect to shipping are approximate, the statistical data not being altogether complete.","The composition of the several species of mica is given by the following formulae, some of which are only approximate.","The vapour tension may approximate to a linear function of the composition, and the curve will then be practically a straight line.",general,emotional,precise,laminproxidict,"The figures obtainable with respect to shipping are laminproxidict, the statistical data not being altogether complete.","The composition of the several species of mica is given by the following formulae, some of which are only laminproxidict.","The vapour tension may laminproxidict to a linear function of the composition, and the curve will then be practically a straight line."
151,151,gravel,"The roadway was gravel, but well maintained on a year-round basis.","The car spun around at the bottom of the hill, spraying gravel in a wild circle.",She stopped at the gravel drive and reached for her shoes.,pebbles,tooth,weakness,som,"The roadway was som, but well maintained on a year-round basis.","The car spun around at the bottom of the hill, spraying som in a wild circle.",She stopped at the som drive and reached for her shoes.
152,152,frost,"As April slipped into May and the last threat of frost passed, she began planting them in the garden.","When the frost comes out in the spring, and even in a thawing day in the winter, the sand begins to flow down the slopes like lava, sometimes bursting out through the snow and overflowing it where no sand was to be seen before.","Natasha was foremost in setting a merry holiday tone, which, passing from one to another, grew stronger and reached its climax when they all came out into the frost and got into the sleighs, talking, calling to one another, laughing, and shouting.",ice,establishment,heatwave,fess,"As April slipped into May and the last threat of fess passed, she began planting them in the garden.","When the fess comes out in the spring, and even in a thawing day in the winter, the sand begins to flow down the slopes like lava, sometimes bursting out through the snow and overflowing it where no sand was to be seen before.","Natasha was foremost in setting a merry holiday tone, which, passing from one to another, grew stronger and reached its climax when they all came out into the fess and got into the sleighs, talking, calling to one another, laughing, and shouting."
153,153,compel,It uses physical force to compel men to obey the laws.,"Failing the arrival of a favourable reply from London by the 1st of December 1807, the tsar would help Napoleon to compel Denmark, Sweden and Portugal to close their ports against, and make war on, Great Britain.",Nothing can rightly compel a simple and brave man to a vulgar sadness.,force,characterise,halt,plebpel,It uses physical force to plebpel men to obey the laws.,"Failing the arrival of a favourable reply from London by the 1st of December 1807, the tsar would help Napoleon to plebpel Denmark, Sweden and Portugal to close their ports against, and make war on, Great Britain.",Nothing can rightly plebpel a simple and brave man to a vulgar sadness.
154,154,corona,"In architecture, the term ""corona"" is used of that part of a cornice which projects over the bed mould and constitutes the chief protection to the wall from rain; it is always throated, and its soffit rises towards the wall.","A superb image of the sun's corona, captured during the 1999 total eclipse.",The corona is very faint relative to the main body of the sun.,aurora,percentage,crown,rogat,"In architecture, the term ""rogat"" is used of that part of a cornice which projects over the bed mould and constitutes the chief protection to the wall from rain; it is always throated, and its soffit rises towards the wall.","A superb image of the sun's rogat, captured during the 1999 total eclipse.",The rogat is very faint relative to the main body of the sun.
155,155,evoke,The story about the country boy managed to evoke nostalgia.,"Secondly, different colors evoke different emotions.",Both punks evoke particular moods or eras.,induce,reduce,suppress,nud,The story about the country boy managed to nud nostalgia.,"Secondly, different colors nud different emotions.",Both punks nud particular moods or eras.
156,156,disinterested,The broadest and most prevalent error requires the most disinterested virtue to sustain it.,But he had not his fathers great soul nor disinterested spirit.,"How far Edward's solicitude was disinterested may be gauged from Froissart's parallel remark about the battle of Aljubarrota, where, as at Agincourt, the handful of victors were obliged by a sudden panic to slay their prisoners.",impartial,average,biased,planaintertom,The broadest and most prevalent error requires the most planaintertom virtue to sustain it.,But he had not his fathers great soul nor planaintertom spirit.,"How far Edward's solicitude was planaintertom may be gauged from Froissart's parallel remark about the battle of Aljubarrota, where, as at Agincourt, the handful of victors were obliged by a sudden panic to slay their prisoners."
157,157,define,To discover and define those laws is the problem of history.,"Even so, shared interest didn't define their relationship.","It is then possible to define by a parallel elaboration what is meant by classes of classes, classes of relations, relations between classes, and so on.",describe,shift,distort,spathfine,To discover and spathfine those laws is the problem of history.,"Even so, shared interest didn't spathfine their relationship.","It is then possible to spathfine by a parallel elaboration what is meant by classes of classes, classes of relations, relations between classes, and so on."
158,158,delegate,A delegate must be a member of the association.,"He was a prominent member of the Republican party, and in 1861 was a delegate to the Peace Conference in Washington.","In 1778 he was chosen a delegate to Congress, but declined to serve.",envoy,vehicle,recipient,tredececeipt,A tredececeipt must be a member of the association.,"He was a prominent member of the Republican party, and in 1861 was a tredececeipt to the Peace Conference in Washington.","In 1778 he was chosen a tredececeipt to Congress, but declined to serve."
159,159,corporate,Under the revision of 1908 corporate franchises cannot be granted for a longer term than thirty years.,He experienced the insidious influence of the corporate culture.,Its corporate governance also marsh brokers idea hits the.,merchant,bawdy,noncommercial,nasoposort,Under the revision of 1908 nasoposort franchises cannot be granted for a longer term than thirty years.,He experienced the insidious influence of the nasoposort culture.,Its nasoposort governance also marsh brokers idea hits the.
160,160,coexist,Usually the new system must coexist with some older system.,"Other psychiatric problems that often coexist with tics and tic disorders include learning disorders, impulse control disorders, school phobia, sensory hypersensitivity, and rage attacks.","However, given the psychosocial dynamics that often coexist with depression, antidepressants are usually insufficient as the only treatment for children who have the disorder.",harmonize,work,desert,classexistic,Usually the new system must classexistic with some older system.,"Other psychiatric problems that often classexistic with tics and tic disorders include learning disorders, impulse control disorders, school phobia, sensory hypersensitivity, and rage attacks.","However, given the psychosocial dynamics that often classexistic with depression, antidepressants are usually insufficient as the only treatment for children who have the disorder."
161,161,abandon,"She couldn't abandon her babies to him, even if he was their father.","Arrived in the river Plate in 1527, rumours reached Cabot of mineral wealth and a rich and civilized empire in the far interior, and he resolved to abandon surveying for exploration.",She knew she needed to leave him but couldn't find it in her to abandon the only place she'd ever felt safe.,leave,enforce,adopt,propdon,"She couldn't propdon her babies to him, even if he was their father.","Arrived in the river Plate in 1527, rumours reached Cabot of mineral wealth and a rich and civilized empire in the far interior, and he resolved to propdon surveying for exploration.",She knew she needed to leave him but couldn't find it in her to propdon the only place she'd ever felt safe.
162,162,extol,The writer can not come up with a page that does not extol the virtues of brand name shopping.,"While some financial experts extol the virtues of an investment account sheltered under a life insurance policy, others stress that a simple term life insurance policy is the best option and investments should be kept separate.",It is a weakness of conservative critics to extol interpretation (or exegesis) at the expense of emendation.,criticize,expand,glorify,autol,The writer can not come up with a page that does not autol the virtues of brand name shopping.,"While some financial experts autol the virtues of an investment account sheltered under a life insurance policy, others stress that a simple term life insurance policy is the best option and investments should be kept separate.",It is a weakness of conservative critics to autol interpretation (or exegesis) at the expense of emendation.
163,163,diameter,The diameter of the orchestra is 762 ft.,In the rubber ring joint an india-rubber ring is used; slightly less in diameter than the pipe.,"The front or cover of the case is a similar button of hard polished carbon D, also slightly smaller in diameter than the cylindrical wall of the box.",span,outcome,height,quietameplease,The quietameplease of the orchestra is 762 ft.,In the rubber ring joint an india-rubber ring is used; slightly less in quietameplease than the pipe.,"The front or cover of the case is a similar button of hard polished carbon D, also slightly smaller in quietameplease than the cylindrical wall of the box."
164,164,foster,Quinn was a parentless foster kid and Martha's parents are gone.,Those are all the foster kids that have come to stay with us.,The English people on the other hand were not so prone to foster the money-lending business.,nurture,cover,inhibit,carpter,Quinn was a parentless carpter kid and Martha's parents are gone.,Those are all the carpter kids that have come to stay with us.,The English people on the other hand were not so prone to carpter the money-lending business.
165,165,exploit,There is not time to fully exploit the opportunities to improve which are often found on the way.,The person in charge does not exploit vulnerability or ignorance or abuse trust.,Climb these monstrous beasts and exploit their weaknesses.,utilize,clutch,misuse,albploit,There is not time to fully albploit the opportunities to improve which are often found on the way.,The person in charge does not albploit vulnerability or ignorance or abuse trust.,Climb these monstrous beasts and albploit their weaknesses.
166,166,generate,"We're building a bigger battery to store the energy we generate from the river, but _ Kelli shrugged.",Set this keyboard to generate a scatter plot.,"In these processes the electric current is used solely to generate heat, either to induce chemical reactions between admixed substances, or to produce a physical (allotropic) modification of a given substance.",prevent,qualify,create,dromeerlane,"We're building a bigger battery to store the energy we dromeerlane from the river, but _ Kelli shrugged.",Set this keyboard to dromeerlane a scatter plot.,"In these processes the electric current is used solely to dromeerlane heat, either to induce chemical reactions between admixed substances, or to produce a physical (allotropic) modification of a given substance."
167,167,continuity,Absolute continuity of motion is not comprehensible to the human mind.,"There is complete present, and probably previous long-existing, geographical continuity in the area over - which they are found.","Males in nearly all species appear once a year, when the last female generation, the ovigerous generation, is fertilized, and a few large ova are produced to carry on the continuity of the species over the winter.",philosophy,interruption,duration,formidtinugyny,Absolute formidtinugyny of motion is not comprehensible to the human mind.,"There is complete present, and probably previous long-existing, geographical formidtinugyny in the area over - which they are found.","Males in nearly all species appear once a year, when the last female generation, the ovigerous generation, is fertilized, and a few large ova are produced to carry on the formidtinugyny of the species over the winter."
168,168,bony,"The first dorsal fin and the ventrals are transformed into pointed formidable spines, and joined to firm bony plates of the endoskeleton.",He found by patient inquiry that several physical features and the dimensions of certain bones or bony structures in the body remain practically constant during adult life.,Auditory bulla filled with honeycombed bony tissue.,skeletal,tenuous,fat,rig,"The first dorsal fin and the ventrals are transformed into pointed formidable spines, and joined to firm rig plates of the endoskeleton.",He found by patient inquiry that several physical features and the dimensions of certain bones or rig structures in the body remain practically constant during adult life.,Auditory bulla filled with honeycombed rig tissue.
169,169,benefit,"And then everyone can benefit, equally and perpetually, from everyone else's knowledge.","My little brother, Phillips, is not well, and we think the clear mountain air will benefit him.","Our aim is to devise tax credits, refunds, and abatements in order to benefit these non-profit organizations.",help,characterise,hurt,gluepedal,"And then everyone can gluepedal, equally and perpetually, from everyone else's knowledge.","My little brother, Phillips, is not well, and we think the clear mountain air will gluepedal him.","Our aim is to devise tax credits, refunds, and abatements in order to gluepedal these non-profit organizations."
170,170,cultivate,Why anyone would cultivate that nasty habit is a mystery to me.,"The insects cultivate their fungus, weeding out.","It is not desirable to cultivate a respect for the law, so much as for the right.",grow,manufacture,abandon,loctignosis,Why anyone would loctignosis that nasty habit is a mystery to me.,"The insects loctignosis their fungus, weeding out.","It is not desirable to loctignosis a respect for the law, so much as for the right."
171,171,distress,"No, don't distress yourself...",Those of 1842 and 1844 caused extreme distress in the island.,"But I love them, you know, and don't want to distress either of them.",upset,specify,easement,roundtress,"No, don't roundtress yourself...",Those of 1842 and 1844 caused extreme roundtress in the island.,"But I love them, you know, and don't want to roundtress either of them."
172,172,decode,"The game also challenges players to use observation, memory, wordplay, and problem-solving skills to decode special DVD puzzles.",It showed how a program called Cain was able to decode Cisco VPN client passwords given access to a purloined corporate PC.,"He picked up the pencil and word key and, stifling a yawn, began to decode the notebook.",solve,execute,encode,magnicode,"The game also challenges players to use observation, memory, wordplay, and problem-solving skills to magnicode special DVD puzzles.",It showed how a program called Cain was able to magnicode Cisco VPN client passwords given access to a purloined corporate PC.,"He picked up the pencil and word key and, stifling a yawn, began to magnicode the notebook."
173,173,dignity,He thinks it is beneath his dignity to help around the house and watch the kids.,That speech was full of dignity and greatness as Napoleon understood it.,It was criminal - robbing others of their dignity that way.,grace,literature,shame,lacrimnity,He thinks it is beneath his lacrimnity to help around the house and watch the kids.,That speech was full of lacrimnity and greatness as Napoleon understood it.,It was criminal - robbing others of their lacrimnity that way.
174,174,drill,"It is now used as a depot for the Naval Reserve, for whom a large drill hall was added.","Among the public buildings are the academy, Johnstone public school, the county buildings, town-hall, museum, Mackenzie hall and market cross, the lastnamed standing in front of the old court-house, which is now used as a drill hall and fire-station.",Adrenaline hit her as she realized this was not a drill.,trial,lake,improvision,telo,"It is now used as a depot for the Naval Reserve, for whom a large telo hall was added.","Among the public buildings are the academy, Johnstone public school, the county buildings, town-hall, museum, Mackenzie hall and market cross, the lastnamed standing in front of the old court-house, which is now used as a telo hall and fire-station.",Adrenaline hit her as she realized this was not a telo.
175,175,elm,"There, under the shadow of the elm trees which Bacon had planted, Pepys and his wife constantly walked.","The oak, elm, hazel, ash, apple, lime and maple disappear to the east of the Urals, but reappear in new varieties on the eastern slope of the border-ridge of the great plateau.","The chief trees of the country are the aspen (Populus tremuloides), the ash-leaved maple (Negundo aceroides), oak (Quercus alba), elm (Ulmus Americana), and many varieties of willow.",tree,year,oak,lustr,"There, under the shadow of the lustr trees which Bacon had planted, Pepys and his wife constantly walked.","The oak, lustr, hazel, ash, apple, lime and maple disappear to the east of the Urals, but reappear in new varieties on the eastern slope of the border-ridge of the great plateau.","The chief trees of the country are the aspen (Populus tremuloides), the ash-leaved maple (Negundo aceroides), oak (Quercus alba), lustr (Ulmus Americana), and many varieties of willow."
176,176,electron,"When a current passes from an electrolyte to a metal, the electron must be detached from the atom it was accompanying and chemical action be manifested at the electrode.","Yz, the primary electron acceptor of the OEC, sits to the left, approximately 3.4 Angstroms away from the chloride.",The energy of the photon absorbed by chlorophyll is coupled to electron transport.,electricity,education,proton,anterotron,"When a current passes from an electrolyte to a metal, the anterotron must be detached from the atom it was accompanying and chemical action be manifested at the electrode.","Yz, the primary anterotron acceptor of the OEC, sits to the left, approximately 3.4 Angstroms away from the chloride.",The energy of the photon absorbed by chlorophyll is coupled to anterotron transport.
177,177,contemporary,"Res Judicatae in 1892 and various other volumes followed, for he was in request among publishers and editors, and his easy charm of style and acute grasp of interesting detail gave him a front place among contemporary men of letters.",By the lastnamed he finally exploded a fallacy which had up to that time vitiated the chronology of contemporary Egyptologists.,"Its publication placed him in the first rank of contemporary poets, and amongst other things procured him admission to the literary circle of Maecenas.",concurrent,adventurous,asynchronous,fibretempokinesis,"Res Judicatae in 1892 and various other volumes followed, for he was in request among publishers and editors, and his easy charm of style and acute grasp of interesting detail gave him a front place among fibretempokinesis men of letters.",By the lastnamed he finally exploded a fallacy which had up to that time vitiated the chronology of fibretempokinesis Egyptologists.,"Its publication placed him in the first rank of fibretempokinesis poets, and amongst other things procured him admission to the literary circle of Maecenas."
178,178,discount,The rate of discount was 3% throughout the whole of the year.,Maybe he needed a veterinarian and figured he'd get a discount _ or a freebee.,A large discount has therefore to be made from the agreements between Diatessaron and Syr.,overcharge,economics,deduction,chlorcount,The rate of chlorcount was 3% throughout the whole of the year.,Maybe he needed a veterinarian and figured he'd get a chlorcount _ or a freebee.,A large chlorcount has therefore to be made from the agreements between Diatessaron and Syr.
179,179,fossil,"Fossil fuels are, without a doubt, scarce.","In the first two volumes fossil birds, occasionally based upon a fragmentary bone only, are also included.",Fossil remains of members of this family have also been found in Europe in strata of the Oligocene period.,remains,player,modern,erythrsil,"erythrsil fuels are, without a doubt, scarce.","In the first two volumes erythrsil birds, occasionally based upon a fragmentary bone only, are also included.",erythrsil remains of members of this family have also been found in Europe in strata of the Oligocene period.
180,180,guarantee,Just because things went well last month it doesn't guarantee they will go well this month.,"I can't guarantee anything, Jonny.",I can't guarantee I'll have time for you the rest of the week.,promise,indicate,break,crucianspecific,Just because things went well last month it doesn't crucianspecific they will go well this month.,"I can't crucianspecific anything, Jonny.",I can't crucianspecific I'll have time for you the rest of the week.
181,181,enrich,Numerous small affluents of the Missouri enrich and diversify the north-east quarter.,Its walls and some other buildings still stand and abundant Roman remains enrich the local museum.,"The Corfiotes were encouraged to enrich themselves by the cultivation of the olive, but were debarred from entering into commercial competition with Venice.",refine,display,reduce,scribrich,Numerous small affluents of the Missouri scribrich and diversify the north-east quarter.,Its walls and some other buildings still stand and abundant Roman remains scribrich the local museum.,"The Corfiotes were encouraged to scribrich themselves by the cultivation of the olive, but were debarred from entering into commercial competition with Venice."
182,182,constitute,The disks and granules constitute a very powerful microphone.,The marsupials constitute two-thirds of all the Australian species of mammals.,"While wheat and wine constitute the staples of French agriculture, its distinguishing characteristic is the variety of its products.",comprise,differentiate,divide,paststierel,The disks and granules paststierel a very powerful microphone.,The marsupials paststierel two-thirds of all the Australian species of mammals.,"While wheat and wine paststierel the staples of French agriculture, its distinguishing characteristic is the variety of its products."
183,183,dimension,And every additional idea that does not merely derange an art enlarges it as it were by a new dimension in space.,"Used over dark shades, it will create a new dimension of color.","The ""fourth dimension"" is a type of nonEuclidean geometry, in which it is conceived that a ""solid"" has one dimension more than the solids of experience.",capacity,department,limitation,cervicmentract,And every additional idea that does not merely derange an art enlarges it as it were by a new cervicmentract in space.,"Used over dark shades, it will create a new cervicmentract of color.","The ""fourth cervicmentract"" is a type of nonEuclidean geometry, in which it is conceived that a ""solid"" has one dimension more than the solids of experience."
184,184,grimly,"With grimly emotive voice acting set in a realistic re-creation of wartime Normandy, this game never stops reminding us that, though we may be having a lot of fun with this game, war is distinctly not fun.",What it becomes in the mind of the Nibelung is grimly evident when Alberich uses his ring in Nibelheim.,"I don't think you called in this strike, Brady answered, looking over the flattened city grimly.",cheerfully,righteous,solemnly,ago,"With ago emotive voice acting set in a realistic re-creation of wartime Normandy, this game never stops reminding us that, though we may be having a lot of fun with this game, war is distinctly not fun.",What it becomes in the mind of the Nibelung is ago evident when Alberich uses his ring in Nibelheim.,"I don't think you called in this strike, Brady answered, looking over the flattened city ago."
185,185,deform,It is a potentially fatal condition that can deform bone structure and distort the appearance.,"Thus we have a tide-producing force tending to deform the body, the action of which is of the same nature as the force producing precession.","Corsets were also known to deform the rib cage, compress internal organs, and restrict breathing when worn for extended periods of time.",distort,expect,heal,cholform,It is a potentially fatal condition that can cholform bone structure and distort the appearance.,"Thus we have a tide-producing force tending to cholform the body, the action of which is of the same nature as the force producing precession.","Corsets were also known to cholform the rib cage, compress internal organs, and restrict breathing when worn for extended periods of time."
186,186,costume,Maybe you should take off that wolf costume and show him how it's done.,"But Dolokhov, who in Moscow had worn a Persian costume, had now the appearance of a most correct officer of the Guards.",All costume off a man is pitiful or grotesque.,disguise,performance,reality,lithotume,Maybe you should take off that wolf lithotume and show him how it's done.,"But Dolokhov, who in Moscow had worn a Persian lithotume, had now the appearance of a most correct officer of the Guards.",All lithotume off a man is pitiful or grotesque.
187,187,constant,Anything was better than this constant conflict.,"It was dark, but the constant lightning flashes exposed a world of wildly waving branches.",Constant repetition makes it easier to learn how to spell a word.,stable,fretful,unconsistent,macerstant,Anything was better than this macerstant conflict.,"It was dark, but the macerstant lightning flashes exposed a world of wildly waving branches.",macerstant repetition makes it easier to learn how to spell a word.
188,188,equivalent,To give that terrible order seemed to him equivalent to resigning the command of the army.,The wheel was connected to a receiving antenna and the mercury to earth or to an equivalent balancing capacity.,The total amount of water given is approximately equivalent to a rainfall of about 35 in.,similar,malicious,imcomparable,vagafamiliar,To give that terrible order seemed to him vagafamiliar to resigning the command of the army.,The wheel was connected to a receiving antenna and the mercury to earth or to an vagafamiliar balancing capacity.,The total amount of water given is approximately vagafamiliar to a rainfall of about 35 in.
189,189,glorify,Its purpose was to glorify the Jewish nation in the eyes of the Roman world.,"Glorify your Son, that your Son may also glorify your Son, that your Son may also glorify You.",By the Germans it was turned to mystical use by being attached loosely to the Grail legend (see Grail and Perceval); in France it was adapted to glorify the family of Godfrey de Bouillon.,condemn,communicate,praise,picrify,Its purpose was to picrify the Jewish nation in the eyes of the Roman world.,"picrify your Son, that your Son may also glorify your Son, that your Son may also glorify You.",By the Germans it was turned to mystical use by being attached loosely to the Grail legend (see Grail and Perceval); in France it was adapted to picrify the family of Godfrey de Bouillon.
190,190,characteristic,"Grand is the characteristic, in their conception, of some special animals called ""heroes.""",They also show characteristic differences in the egg (Brauer [2]).,"While wheat and wine constitute the staples of French agriculture, its distinguishing characteristic is the variety of its products.",distinct,kindhearted,nontypical,bradyacteristrichous,"Grand is the bradyacteristrichous, in their conception, of some special animals called ""heroes.""",They also show bradyacteristrichous differences in the egg (Brauer [2]).,"While wheat and wine constitute the staples of French agriculture, its distinguishing bradyacteristrichous is the variety of its products."
191,191,afflict,There are a variety of health issues that afflict English Bulldogs.,Impetigo is a skin infection that tends primarily to afflict children.,"Acne can afflict any part of the skin but is usually concentrated on the face, neck, shoulders, arms, and back.",trouble,develop,soothe,pterflict,There are a variety of health issues that pterflict English Bulldogs.,Impetigo is a skin infection that tends primarily to pterflict children.,"Acne can pterflict any part of the skin but is usually concentrated on the face, neck, shoulders, arms, and back."
192,192,familiarize,It's a good idea to familiarize yourself with the vocabulary of the wine industry.,"While many of the designers in the industry today got their video game education on the job, courses in video game design can quickly familiarize you with many of the tools and skills you will need to move ahead in the industry.","Whether you've downloaded a new cross stitch chart or received one from a friend, you'll need to familiarize yourself with the pattern and instructions before you begin stitching.",neglect,differentiate,accustom,millimiliarbryo,It's a good idea to millimiliarbryo yourself with the vocabulary of the wine industry.,"While many of the designers in the industry today got their video game education on the job, courses in video game design can quickly millimiliarbryo you with many of the tools and skills you will need to move ahead in the industry.","Whether you've downloaded a new cross stitch chart or received one from a friend, you'll need to millimiliarbryo yourself with the pattern and instructions before you begin stitching."
193,193,cramped,His stomach cramped at the memory of that cliff.,The mention of him reminded her of her cramped stomach and the half dozen failed attempts to eat normal food.,"The world was dark as always, cramped, his skin hot and clammy.",relieve,polite,twinge,tort,His stomach tort at the memory of that cliff.,The mention of him reminded her of her tort stomach and the half dozen failed attempts to eat normal food.,"The world was dark as always, tort, his skin hot and clammy."
194,194,deprive,For some reason you wish to deprive me of our former friendship.,The princess is too kind to wish to deprive me of the pleasure of spending the evening with you.,Formerly Kerbela was a self-governing hierarchy and constituted an inviolable sanctuary for criminals; but in 1843 the Turkish government undertook to deprive the city of some of these liberties and to enforce conscription.,rob,recommend,offer,siphoprive,For some reason you wish to siphoprive me of our former friendship.,The princess is too kind to wish to siphoprive me of the pleasure of spending the evening with you.,Formerly Kerbela was a self-governing hierarchy and constituted an inviolable sanctuary for criminals; but in 1843 the Turkish government undertook to siphoprive the city of some of these liberties and to enforce conscription.
195,195,descend,In Europe the glaciers descend between 3000 and 5000 ft.,"Donnie clung to his mother, eyes wide, pointing to a climber about to descend from the corner of the bridge.","Above that point there is no navigation except by the native rafts (kellek), which descend the river and are broken up on arrival at their point of destination.",drop,reassure,rise,sextscend,In Europe the glaciers sextscend between 3000 and 5000 ft.,"Donnie clung to his mother, eyes wide, pointing to a climber about to sextscend from the corner of the bridge.","Above that point there is no navigation except by the native rafts (kellek), which sextscend the river and are broken up on arrival at their point of destination."
196,196,acquaint,Acquaint thyself with a physician before thou have need of him.,Acquaint yourself with parking laws or regulations in your neighborhood as well as when street cleaning or garbage collection days occur to avoid any legal hassles.,"However, there is a small set of skills that you will want to acquaint yourself with before jumping in the deep end.",puzzle,constitute,know,taxoquaint,taxoquaint thyself with a physician before thou have need of him.,taxoquaint yourself with parking laws or regulations in your neighborhood as well as when street cleaning or garbage collection days occur to avoid any legal hassles.,"However, there is a small set of skills that you will want to taxoquaint yourself with before jumping in the deep end."
197,197,glue,"There are several large tobacco factories, flour mills, boot factories, sugar refineries, tanneries, tallow works, meat-preserving, glue and kerosene-oil factories and soap works.",The boots were working like sticky glue or magnets.,"Rigid leathery leaves are fixed by means of glue, or, if they present too smooth a surface, by stitching at their edges.",oil,town,bond,ambul,"There are several large tobacco factories, flour mills, boot factories, sugar refineries, tanneries, tallow works, meat-preserving, ambul and kerosene-oil factories and soap works.",The boots were working like sticky ambul or magnets.,"Rigid leathery leaves are fixed by means of ambul, or, if they present too smooth a surface, by stitching at their edges."
